filename,words
1.jpg,អវយវៈ
2.jpg,អវយវៈ
3.jpg,អវយវៈ
4.jpg,អវយវៈ
5.jpg,អវយវៈ
6.jpg,ដែល
7.jpg,ដែល
8.jpg,ដែល
9.jpg,ដែល
10.jpg,ដែល
11.jpg,ត
12.jpg,ត
13.jpg,ត
14.jpg,ត
15.jpg,ត
16.jpg,ពី
17.jpg,ពី
18.jpg,ពី
19.jpg,ពី
20.jpg,ពី
21.jpg,ក្បាល
22.jpg,ក្បាល
23.jpg,ក្បាល
24.jpg,ក្បាល
25.jpg,ក្បាល
26.jpg,ទៅស្មាឬទៅខ្លួន
27.jpg,ទៅស្មាឬទៅខ្លួន
28.jpg,ទៅស្មាឬទៅខ្លួន
29.jpg,ទៅស្មាឬទៅខ្លួន
30.jpg,ទៅស្មាឬទៅខ្លួន
31.jpg,នៃមនុស្ស
32.jpg,នៃមនុស្ស
33.jpg,នៃមនុស្ស
34.jpg,នៃមនុស្ស
35.jpg,នៃមនុស្ស
36.jpg,សត្វ
37.jpg,សត្វ
38.jpg,សត្វ
39.jpg,សត្វ
40.jpg,សត្វ
41.jpg,ផ្នែក
42.jpg,ផ្នែក
43.jpg,ផ្នែក
44.jpg,ផ្នែក
45.jpg,ផ្នែក
46.jpg,នៃដៃ
47.jpg,នៃដៃ
48.jpg,នៃដៃ
49.jpg,នៃដៃ
50.jpg,នៃដៃ
51.jpg,ឬជើង
52.jpg,ឬជើង
53.jpg,ឬជើង
54.jpg,ឬជើង
55.jpg,ឬជើង
56.jpg,ដែលត
57.jpg,ដែលត
58.jpg,ដែលត
59.jpg,ដែលត
60.jpg,ដែលត
61.jpg,ភ្ជាប់ពី
62.jpg,ភ្ជាប់ពី
63.jpg,ភ្ជាប់ពី
64.jpg,ភ្ជាប់ពី
65.jpg,ភ្ជាប់ពី
66.jpg,ប្រអប់
67.jpg,ប្រអប់
68.jpg,ប្រអប់
69.jpg,ប្រអប់
70.jpg,ប្រអប់
71.jpg,ដៃទៅ
72.jpg,ដៃទៅ
73.jpg,ដៃទៅ
74.jpg,ដៃទៅ
75.jpg,ដៃទៅ
76.jpg,កំភួន
77.jpg,កំភួន
78.jpg,កំភួន
79.jpg,កំភួន
80.jpg,កំភួន
81.jpg,ដៃឬ
82.jpg,ដៃឬ
83.jpg,ដៃឬ
84.jpg,ដៃឬ
85.jpg,ដៃឬ
86.jpg,ពី
87.jpg,ពី
88.jpg,ពី
89.jpg,ពី
90.jpg,ពី
91.jpg,ប្រអប់
92.jpg,ប្រអប់
93.jpg,ប្រអប់
94.jpg,ប្រអប់
95.jpg,ប្រអប់
96.jpg,ជើង
97.jpg,ជើង
98.jpg,ជើង
99.jpg,ជើង
100.jpg,ជើង
101.jpg,ទៅ
102.jpg,ទៅ
103.jpg,ទៅ
104.jpg,ទៅ
105.jpg,ទៅ
106.jpg,កំភួនជើង
107.jpg,កំភួនជើង
108.jpg,កំភួនជើង
109.jpg,កំភួនជើង
110.jpg,កំភួនជើង
111.jpg,មិនអាច
112.jpg,មិនអាច
113.jpg,មិនអាច
114.jpg,មិនអាច
115.jpg,មិនអាច
116.jpg,ផ្លាស់ទី
117.jpg,ផ្លាស់ទី
118.jpg,ផ្លាស់ទី
119.jpg,ផ្លាស់ទី
120.jpg,ផ្លាស់ទី
121.jpg,រំកិល
122.jpg,រំកិល
123.jpg,រំកិល
124.jpg,រំកិល
125.jpg,រំកិល
126.jpg,ងាក
127.jpg,ងាក
128.jpg,ងាក
129.jpg,ងាក
130.jpg,ងាក
131.jpg,កម្រើក
132.jpg,កម្រើក
133.jpg,កម្រើក
134.jpg,កម្រើក
135.jpg,កម្រើក
136.jpg,ឬធ្វើចលនាបាន
137.jpg,ឬធ្វើចលនាបាន
138.jpg,ឬធ្វើចលនាបាន
139.jpg,ឬធ្វើចលនាបាន
140.jpg,ឬធ្វើចលនាបាន
141.jpg,ដោយសារ
142.jpg,ដោយសារ
143.jpg,ដោយសារ
144.jpg,ដោយសារ
145.jpg,ដោយសារ
146.jpg,មានរបស់គរ
147.jpg,មានរបស់គរ
148.jpg,មានរបស់គរ
149.jpg,មានរបស់គរ
150.jpg,មានរបស់គរ
151.jpg,ជាប់បន្ត
152.jpg,ជាប់បន្ត
153.jpg,ជាប់បន្ត
154.jpg,ជាប់បន្ត
155.jpg,ជាប់បន្ត
156.jpg,គ្នាឬមនុស្សច្រើន
157.jpg,គ្នាឬមនុស្សច្រើន
158.jpg,គ្នាឬមនុស្សច្រើន
159.jpg,គ្នាឬមនុស្សច្រើន
160.jpg,គ្នាឬមនុស្សច្រើន
161.jpg,ណែន
162.jpg,ណែន
163.jpg,ណែន
164.jpg,ណែន
165.jpg,ណែន
166.jpg,ណាន់
167.jpg,ណាន់
168.jpg,ណាន់
169.jpg,ណាន់
170.jpg,ណាន់
171.jpg,តាន់
172.jpg,តាន់
173.jpg,តាន់
174.jpg,តាន់
175.jpg,តាន់
176.jpg,តាប់
177.jpg,តាប់
178.jpg,តាប់
179.jpg,តាប់
180.jpg,តាប់
